1;27217;91.089 
1;59146;95.299 
3;89164;281.097 
4;118446;344.517 
5;147357;437.179 
5;176564;348.388 
5;205641;364.396 
5;234789;363.193 
5;264660;303.473 
6;293511;386.188 
6;322350;354.035 
6;352551;416.326 
6;380299;395.508 
6;410142;431.597 
6;438488;439.990 
6;466881;426.179 
6;495328;431.696 
5;524571;331.694 
6;552963;413.064 
6;581416;423.497 
6;609020;443.750 
5;638317;385.283 
5;667422;351.691 
6;696178;389.322 
6;723868;502.696 
5;741978;198.949 
6;741811;16.596 
8;815706;447.278 
8;843952;431.197 
8;870939;559.596 
7;898299;526.572 
7;925939;489.863 
6;954665;391.992 
6;982772;386.650 
6;1014291;434.746 
6;1043381;356.990 
6;1072055;373.186 
6;1104641;424.697 
6;1132486;467.291 
6;1161111;389.149 
6;1188829;475.296 
5;1217931;360.283 
5;1222713;90.752 
7;1222531;17.894 
9;1309963;336.965 
10;1339172;439.236 
10;1366749;489.088 
9;1394626;449.944 
9;1420790;559.134 
8;1449731;480.991 
8;1477226;498.694 
7;1505569;399.782 
7;1533504;451.393 
7;1561640;435.172 
6;1590386;376.574 
7;1618900;381.073 
7;1646629;478.455 
6;1675485;354.594 
6;1686008;163.429
