1;34087;396,498 
281;41667;2487,062 
1;72092;248,793 
1;102535;224,092 
1;133078;226,299 
1;163534;216,575 
1;193906;237,090 
1;224641;173,094 
1;255007;227,790 
1;285164;221,480 
1;316629;221,088 
1;347211;203,689 
1;377651;222,992 
1;408185;206,797 
6964;409602;2437,171 
1;440716;853,792 
1;471137;222,391 
1;501761;208,299 
1;530653;210,370 
1;562534;223,386 
1;594898;203,095 
1;625368;221,096 
1;655859;210,896 
1;664193;67,580 
1;719826;18,900 
1;750509;205,088 
1;781202;205,493 
1;811707;218,092 
10000;809988;2449,164 
1;841331;1130,564 
1;871959;199,198 
1;902322;234,283 
1;932814;223,680 
1;963195;229,895 
1;993686;226,387 
1;1023961;235,184 
1;1034624;72,044 
1;1034590;3,297 
1;1121809;11,299 
1;1152072;237,572 
1;1182297;237,792 
1;1212562;236,092 
4385;1218315;2242,648 
1;1249301;588,841 
1;1279454;237,797 
1;1309750;231,976 
1;1340025;234,168 
1;1370178;232,017 
1;1400788;236,786 
1;1431073;225,398 
1;1460459;229,773 
1;1491708;219,698 
1;1521900;235,692 
1;1551177;225,908 
1;1583016;175,098 
1;1613252;224,489 
9182;1613414;2211,498 
1;1616200;919,734 
1;1622611;3,800 
1;1710906;109,692
