1,7387392,574.376,,
4,7411475,823.651,,
4,7424905,1880.299,,
1,7428323,83.345,,
8,7470039,1825.864,,
3,7476521,447.249,,
9,7507562,118.4,,
11,7528812,3377.261,,
1,7555557,619.573,,
10,7560741,2712.576,,
1,7586496,656.559,,
8,7590179,2851.978,,
1,7616672,664.889,,
6,7625090,2377.685,,
1,7651340,590.491,,
6,7660635,2150.461,,
1,7686961,613.876,,
6,7695019,2357.661,,
1,7726580,308.499,,
7,7732385,2601.759,,
1,7759755,624.253,,
5,7764229,1119.293,,
3,7764134,9.487,,
9,7818930,2857.22,,
1,7845429,572.38,,
8,7850193,2743.435,,
1,7876207,611.381,,
6,7883246,2501.089,,
1,7909109,626.489,,
5,7919418,2185.359,,943.580665935642
1,7949271,228.097,,
7,7954319,2699.584,,
1,7981315,635.375,,
5,7992108,2142.776,,
1,8017614,675.149,,
5,8041008,884.323,,
4,8052710,2065.824,,
1,8078425,643,,
6,8081924,2019.977,,
1,8121511,110.099,,
9,8120780,3254.359,,
1,8146866,699.569,,
6,8154263,2490.048,,
1,8179920,652.47,,
4,8193082,1891.755,,
1,8222431,293.892,,
6,8230190,2167.218,,
1,8230156,3.2,,
8,8284336,1498.467,,
4,8298809,1788.037,,
3,8314837,1664.346,,
3,8331059,1608.88,,
3,8347848,1547.259,,
2,8368542,1164.014,,
4,8380290,2033.584,,
1,8404386,654.614,,
5,8416972,2133.412,,
1,8442038,715.486,,
5,8452295,2194.413,,
1,8477824,672.885,,
5,8487143,2268.473,,
1,8500612,364.431,,
6,8524023,2414.909,,
1,8526461,39.847,,
8,8565471,2277.292,,
1,8591136,654.37,,
6,8597604,2580.603,,
1,8623411,644.155,,
5,8633383,2220.159,,
1,8658629,689.483,,
5,8670789,1973.446,,
1,8696630,670.021,,
5,8707926,2265.894,,
1,8733471,654.833,,
5,8742844,2272.041,,
1,8762269,464.091,,
5,8762158,10.998,,
8,8818861,1667.854,,
4,8832413,1862.738,,
4,8846141,1845.156,,
3,8862012,1630.874,,
3,8879078,1516.434,,
3,8894431,1439.959,,
3,8894342,8.8,,
9,8928908,3340.631,,
1,8954425,655.047,,
6,8960696,2600.925,,
1,8984691,635.468,,
4,8999190,1951.455,,
1,9025050,644.085,,
4,9040021,1717.65,,
1,9065651,668.982,,
5,9075704,2199.173,,
1,9104790,335.696,,
7,9107735,1650.607,,
2,9107668,6.491,,
10,9160020,2670.865,,
1,9185837,637.096,,
8,9185503,3251.267,,
1,9210864,679.132,,
6,9216633,2638.173,,
1,9242364,653.67,,
4,9255779,1871.664,,
1,9281466,650.576,,
4,9295736,1795.686,,
1,9321888,611.783,,
5,9330547,2359.693,,
1,9355865,696.964,,
5,9365984,2212.179,,
1,9373500,248.607,,
6,9412033,1640.149,,
2,9432606,1174.812,,
4,9445779,1907.053,,
1,9471531,647.379,,
6,9479181,2238.498,,
1,9507539,12.092,,
9,9512761,3380.333,,
1,9538331,672.577,,
5,9548903,2160.182,,
1,9573636,642.247,,
4,9579602,991.173,,
4,9623541,641.791,,
6,9629132,2652.618,,
1,9655410,691.278,,
6,9664446,2314.686,,
1,9690325,637.753,,
6,9697692,2480.958,,
1,9700200,84.494,,
7,9738201,2370.828,,
1,9763510,683.007,,
6,9770228,2543.306,,
1,9796088,626.088,,
5,9805080,2321.098,,
1,9830340,690.889,,
4,9853733,875.427,,
4,9861731,1637.982,,
2,9901533,137.288,,
8,9901304,3224.14,,
1,9927265,628.291,,
6,9934892,2444.554,,
1,9960093,700.969,,
5,9970065,2212.934,,
1,9995545,668.312,,
4,10006569,2008.317,,
1,10034459,671.354,,
4,10047841,1887.667,,
1,10073866,620.86,,
5,10081978,2345.886,,
1,10112522,314.281,,
6,10119515,2340.166,,
1,10119483,3.099,,
8,10155599,3087.394,,
1,10181295,634.27,,
5,10191292,2217.042,,
1,10216701,667.269,,
4,10229318,1949.944,,
1,10242728,325.075,,
6,10269226,2179.583,,
1,10294792,663.374,,
5,10304948,2202.284,,
1,10330833,647.177,,
5,10340738,2101.22,,
1,10371696,299.274,,
7,10375716,2806.485,,
1,10400001,668.201,,
5,10407975,1641.264,,
1,10407943,3.097,,
8,10465706,1659.138,,
3,10482000,1593.336,,
4,10494429,1986.011,,
2,10515345,1115.343,,
5,10522956,2449.392,,
1,10548486,636.606,,
5,10560210,2097.313,,
1,10587548,596.722,,
5,10598718,2102.946,,
1,10623854,681.483,,
5,10633797,2393.655,,
1,10640951,164.543,,
7,10694888,276.114,,
8,10698020,2898.869,,
1,10723200,621.094,,
7,10729282,2699.577,,
1,10757088,629.789,,
6,10761777,2749.626,,
1,10787564,644.388,,
