0;0;874,660
1;6259;215,799
8;5721;884,998
1;11968;214,398
8;11726;860,700
1;18003;209,999
8;17601;874,522
1;23925;204,199
8;23340;890,806
1;29680;202,898
8;29226;880,059
1;35424;218,793
8;35502;827,784
1;41733;215,198
8;41333;873,458
1;47535;214,587
8;47232;864,383
1;53971;158,599
9;53818;850,699
1;60069;211,098
8;59892;851,317
1;66151;208,698
8;66000;849,714
1;72287;204,898
8;71979;864,857
1;78219;214,096
8;78008;854,982
1;84259;211,695
8;83965;863,442
1;90236;208,394
8;90073;850,693
1;96270;216,397
8;96076;853,247
1;102310;213,097
8;102139;848,616
1;108400;212,185
8;108140;859,118
1;114338;216,796
8;114038;863,798
1;120712;165,698
9;120407;864,467
1;126803;196,996
8;126732;841,560
1;132965;213,593
8;132856;842,719
1;139222;201,298
8;138995;861,691
1;145662;166,798
9;145496;849,850
1;151848;200,895
8;151793;837,783
1;158007;215,198
8;157820;853,782
1;164125;205,978
8;164121;833,218
1;170425;206,998
8;170370;839,206
1;176638;212,598
8;176556;842,337
1;182795;215,097
8;182708;843,021
1;188985;209,199
8;188807;850,175
1;195014;215,299
8;194685;865,154
1;200915;213,982
8;200529;871,063
1;206655;216,898
8;206564;854,655
1;212777;214,781
8;212847;827,225
1;219177;206,698
8;218925;851,694
1;225240;221,085
8;225156;840,383
1;231413;211,592
8;231420;833,904
1;238130;165,298
9;237984;845,233
1;244233;215,798
8;244124;841,635
1;250361;210,474
8;250306;840,351
1;256534;214,599
8;256468;839,708
1;262707;212,499
