0;0;714,820 
1;7127;344,209 
1;13647;186,102 
1;20184;184,068 
2;24697;384,475 
2;29215;385,491 
2;33705;386,004 
2;38288;379,093 
2;42842;381,152 
2;47491;372,223 
2;52051;380,212 
2;56574;381,981 
2;61237;370,886 
2;65904;369,130 
2;70446;383,592 
3;73203;561,622 
2;77828;373,185 
2;82398;379,031 
2;87119;367,783 
2;91768;370,977 
2;96363;377,294 
2;101003;373,886 
3;105059;428,041 
3;108008;540,720 
2;112622;378,207 
2;117195;379,086 
2;121802;373,753 
2;126527;363,477 
2;131234;364,461 
2;135838;376,668 
2;140207;399,093 
3;143080;558,074 
2;147812;368,824 
2;152684;356,776 
2;157090;395,378 
2;161421;404,358 
2;165757;401,440 
2;170151;398,734 
2;174460;404,945 
2;178961;386,148 
2;183610;372,310 
2;188246;373,076 
2;192850;374,185 
3;196164;511,414 
2;200748;378,139 
2;205366;373,890 
2;210027;371,297 
2;214676;371,601 
2;219416;363,010 
3;222415;534,516 
2;227044;375,261 
2;231707;369,645 
2;237095;297,143 
3;239998;545,366 
3;243018;535,147 
2;247601;376,479 
2;252103;388,657 
2;256327;412,666 
2;260505;415,397 
2;264767;411,121 
2;269636;346,031 
2;274171;384,064 
2;278682;384,093 
2;283173;386,524 
2;287582;395,002 
2;292028;393,981 
2;296589;381,348 
2;301283;366,953 
2;305630;400,896 
2;310184;381,022 
2;314570;395,408 
2;318801;412,911 
2;323180;395,482 
2;327471;408,873 
2;331704;412,307 
2;336243;387,442 
2;340328;424,758 
2;344691;398,727 
2;348875;416,951 
2;353514;373,490 
2;358184;364,734 
2;362933;362,159 
2;368330;295,383 
3;371394;528,430 
3;374310;542,854 
2;379132;353,512 
2;383717;377,765 
2;388366;371,912 
2;392950;376,203 
2;397558;374,439 
2;402143;375,257 
3;405218;528,477 
2;409832;374,879 
2;414484;372,631 
2;419072;375,312 
2;423623;379,852 
2;428176;381,465 
2;432823;370,432 
3;435808;536,516 
2;440515;364,627 
2;445261;360,460 
2;449870;373,322 
