0;0;902,147
1;7762;59,1
88;6904;914,714
1;13209;216,897
61;12353;916,641
1;18671;211,898
62;20095;683,4
1;27011;150,5
52;26168;913,697
1;33912;63,3
88;33069;914,475
1;40972;49,799
91;40109;917,258
1;47881;67,2
88;47027;913,682
1;54802;65,199
88;53929;914,976
1;60186;221,298
60;59300;916,637
1;65531;218,899
61;64680;915,524
1;70911;216,798
61;70018;919,64
1;76230;219,782
61;75426;912,183
1;81680;217,799
60;80825;914,326
1;87085;217,693
61;86192;918,396
1;92408;219,899
61;91667;902,881
1;97960;217,299
60;97205;904,226
1;103457;217,776
60;102668;909,017
1;108916;216,178
60;109327;788,767
1;115605;217,298
49;114917;898,14
1;121175;217,198
59;120582;886,873
1;126821;217,998
58;126190;892,984
1;132470;214,697
59;131787;897,986
1;138033;218,399
59;137408;892,163
1;143640;218,599
58;142949;897,964
1;149195;217,499
59;148686;879,572
1;154975;215,099
58;154409;888,122
1;160647;216,998
58;160032;891,894
1;166292;217,298
59;165609;896,348
1;171867;218,09
59;171304;885,394
1;177532;218,293
58;177325;850,112
1;183581;218,595
55;183101;878,959
1;189388;212,399
58;188748;891,729
1;195020;215,396
59;195591;771,873
1;201798;221,399
47;201301;878,354
1;207479;223,098
56;206996;875,918
1;213126;226,499
56;212590;882,314
1;218754;222,977
57;218196;881,353
1;224357;224,297
56;223743;889,332
1;229895;224,998
57;229334;884,087
1;235562;216,498
58;234957;887,844
1;241173;218,998
58;240611;884,625
1;246783;220,399
57;246353;873,177
1;252517;225,798
55;252165;861,027
1;258291;226,595
54;257948;864,371
1;264105;224,499
55;263777;861,693
1;269827;223,298
55;269384;885,065
1;275521;224,782
57;275088;871,403
1;281194;229,999
55;281924;751,227
1;288015;228,498
44;287430;885,546
1;293597;222,499
57;293295;857,61
1;299419;224,498
54;299050;863,71
1;305197;225,697
55;304930;852,302
1;311117;221,599
54;310800;855,55
1;316973;221,899
55;316610;864,458
1;322736;224,599
