48.7 ; 100 ; 10147000024 ; 62279648 ; 1773613 ; 498 ; 34111682 ; 0.00020966584907677627 ; 425984 ; 62955520 ; 62279648
43.9 ; 100 ; 10386153608 ; 46419312 ; 1815464 ; 507 ; 34631501 ; 0.00020813725881587493 ; 425984 ; 47128576 ; 46419312
40.5 ; 100 ; 10608060936 ; 34976128 ; 1854231 ; 516 ; 35407292 ; 0.0002069415806021483 ; 425984 ; 35708928 ; 34976128
43.5 ; 100 ; 10844837568 ; 56120800 ; 1895699 ; 524 ; 36076462 ; 0.00020544766752471192 ; 425984 ; 56778752 ; 56120800
43.5 ; 100 ; 11081820504 ; 40320632 ; 1937167 ; 533 ; 36870165 ; 0.0002043767553190237 ; 425984 ; 41017344 ; 40320632
47.6 ; 100 ; 11341947400 ; 53113640 ; 1982631 ; 542 ; 37366684 ; 0.00020323665158398062 ; 425984 ; 53805056 ; 53113640
48.7 ; 100 ; 11606760472 ; 50792848 ; 2029037 ; 552 ; 38220577 ; 0.00020302529927602005 ; 425984 ; 51494912 ; 50792848
41.9 ; 100 ; 11836136528 ; 44790448 ; 2069085 ; 560 ; 39146546 ; 0.00020253158398033256 ; 425984 ; 45506560 ; 44790448
48.6 ; 100 ; 12100948752 ; 58550976 ; 2115448 ; 570 ; 39823347 ; 0.0002019248176089032 ; 425984 ; 59228160 ; 58550976
48.6 ; 100 ; 12366505872 ; 31101544 ; 2161858 ; 579 ; 40529569 ; 0.00020096827589476205 ; 425984 ; 31850496 ; 31101544
43 ; 100 ; 12599688336 ; 47954392 ; 2202751 ; 588 ; 41185503 ; 0.00020035934489179985 ; 425984 ; 48660480 ; 47954392
50 ; 100 ; 12872644624 ; 37029800 ; 2250485 ; 598 ; 41970614 ; 0.00020018347824786442 ; 425984 ; 37756928 ; 37029800
44.4 ; 100 ; 13114514720 ; 62797528 ; 2292814 ; 607 ; 42580831 ; 0.00019937847607703142 ; 425984 ; 63447040 ; 62797528
46.7 ; 100 ; 13370091024 ; 42977312 ; 2337464 ; 617 ; 43332423 ; 0.000198870011021063 ; 425984 ; 43671552 ; 42977312
42.8 ; 100 ; 13603067728 ; 53268448 ; 2378271 ; 626 ; 43929598 ; 0.0001980046784124022 ; 425984 ; 53952512 ; 53268448
50.1 ; 100 ; 13877312544 ; 31996112 ; 2426154 ; 636 ; 44565278 ; 0.00019732497601986134 ; 425984 ; 32743424 ; 31996112
51.3 ; 100 ; 14156654184 ; 57486872 ; 2475030 ; 645 ; 45118168 ; 0.00019678453307328645 ; 425984 ; 58155008 ; 57486872
47.2 ; 100 ; 14414066304 ; 34432656 ; 2520059 ; 655 ; 45655199 ; 0.00019567607266586106 ; 425984 ; 35168256 ; 34432656
52.9 ; 100 ; 14702434528 ; 22990752 ; 2570503 ; 666 ; 46488748 ; 0.0001956441819058959 ; 425984 ; 23748608 ; 22990752
45.8 ; 100 ; 14952244264 ; 54266480 ; 2614202 ; 675 ; 47106099 ; 0.000195181732038998 ; 425984 ; 54935552 ; 54266480
46.7 ; 100 ; 15206737016 ; 52506616 ; 2658752 ; 684 ; 47950197 ; 0.00019496704170335585 ; 425984 ; 53231616 ; 52506616
52.9 ; 100 ; 15494561696 ; 52729896 ; 2709147 ; 695 ; 48794262 ; 0.00019487890606844515 ; 425984 ; 53420032 ; 52729896
52.4 ; 100 ; 15780756016 ; 44366504 ; 2759167 ; 706 ; 49618645 ; 0.00019470591606571166 ; 425984 ; 45072384 ; 44366504
41.8 ; 100 ; 16008843832 ; 30242432 ; 2799071 ; 715 ; 50279751 ; 0.00019399627297942044 ; 425984 ; 30957568 ; 30242432
50.7 ; 100 ; 16284925856 ; 42547760 ; 2847374 ; 726 ; 50965761 ; 0.00019384310732622307 ; 425984 ; 43261952 ; 42547760
48.2 ; 100 ; 16548311120 ; 39268264 ; 2893405 ; 737 ; 51687450 ; 0.00019354122496505695 ; 425984 ; 39976960 ; 39268264
40.7 ; 100 ; 16770425952 ; 58586224 ; 2932264 ; 744 ; 52180067 ; 0.0001926209056020313 ; 425984 ; 59269120 ; 58586224
42.3 ; 100 ; 17001023072 ; 37306688 ; 2972635 ; 754 ; 52846909 ; 0.00019216893635163226 ; 425984 ; 38027264 ; 37306688
47.1 ; 100 ; 17257892960 ; 42354704 ; 3017576 ; 764 ; 53513934 ; 0.0001920891422062738 ; 425984 ; 43065344 ; 42354704
53.6 ; 100 ; 17550267064 ; 46155952 ; 3068684 ; 775 ; 54436301 ; 0.0001919749861740149 ; 425984 ; 46841856 ; 46155952
50.6 ; 100 ; 17825940224 ; 61799440 ; 3116938 ; 785 ; 55254334 ; 0.00019196401114904388 ; 425984 ; 62447616 ; 61799440
50.5 ; 100 ; 18101815352 ; 46863904 ; 3165150 ; 796 ; 56076549 ; 0.00019191509675953153 ; 425984 ; 47562752 ; 46863904
52.2 ; 100 ; 18385839984 ; 30356872 ; 3214879 ; 807 ; 56848725 ; 0.00019185482727271893 ; 425984 ; 31072256 ; 30356872
53.6 ; 100 ; 18678418472 ; 65128224 ; 3265985 ; 817 ; 57498607 ; 0.00019168286180068665 ; 425984 ; 65789952 ; 65128224
